name,quantity,protein,carbs,sugars,cholesterol,fiber,fat,calories
Toppings/ strawberry,0,0.2,66.3,27.38,0,0.7,0.1,254
KEEBLER/ Sugar Cones,0,7.3,78,26.4,0,2.1,3.7,375
Seaweed/ raw/ wakame,0,3.03,9.14,0.65,0,0.5,0.6,45
Seaweed/ dried/ agar,0,6.21,80.88,2.97,0,7.7,0.3,306
Bread/ cracked-wheat,0,8.7,49.5,0,0,5.5,3.9,260
Amaranth leaves/ raw,0,2.46,4.02,0,0,0,0.3,23
Barley/ raw/ pearled,0,9.91,77.72,0.8,0,15.6,1.2,352
Polish sausage/ pork,0,14.1,1.63,0,70,0,29,326
Spices/ curry powder,0,14.29,55.83,2.76,0,53.2,14,325
Bacon bits/ meatless,0,32,28.6,0,0,10.2,26,476
Semolina/ unenriched,0,12.68,72.83,0,0,3.9,1.1,360
Grape leaves/ canned,0,4.27,11.71,0,0,9.9,2,69
Spices/ ground/ sage,0,10.63,60.73,1.71,0,40.3,13,315
PACE/ Red Taco Sauce,0,0,12.5,6.25,0,0,0,50
DENNY'S/ hash browns,0,2.49,26.59,1.38,0,2.7,9,197
DENNY'S/ onion rings,0,5.29,41.05,4.76,0,2.4,22,385
Ostrich/ raw/ oyster,0,21.55,0,0,73,0,3.7,125
Oil/ corn and canola,0,0,0,0,0,0,100,884
Pumpkin flowers/ raw,0,1.03,3.28,0,0,0,0.1,15
Celery flakes/ dried,0,11.3,63.7,35.9,0,27.8,2.1,319
Crackers/ egg/ matzo,0,12.3,78.6,0,83,2.8,2.1,391
Loganberries/ frozen,0,1.52,13.02,7.7,0,5.3,0.3,55
Tangerine juice/ raw,0,0.5,10.1,9.9,0,0.2,0.2,43
Soybeans/ raw/ green,0,12.95,11.05,0,0,4.2,6.8,147
Soybean/ curd cheese,0,12.5,6.9,1.6,0,0,8.1,151
Game meat/ raw/ bear,0,20.1,0,0,0,0,8.3,161
Game meat/ raw/ deer,0,22.96,0,0,85,0,2.4,120
Oranges/ navels/ raw,0,0.91,12.54,8.5,0,2.2,0.2,49
Tostada shells/ corn,0,6.15,64.43,0,0,5.8,23,474
Fish/ raw/ swordfish,0,19.66,0,0,66,0,6.7,144
Taro/ raw/ tahitian,0,2.79,6.91,0,0,0,1,44
Chicory greens/ raw,0,1.7,4.7,0.7,0,4,0.3,23
Hearts of palm/ raw,0,2.7,25.61,17.16,0,1.5,0.2,115
Chayote/ raw/ fruit,0,0.82,4.51,1.66,0,1.7,0.1,19
Fish/ smoked/ cisco,0,16.36,0,0,32,0,12,177
